raceId,driverId,vueltas_totales,tiempo_vuelta_promedio_seg,tiempo_vuelta_mas_rapida_seg,paradas_totales,tiempo_total_boxes_seg,tiempo_promedio_parada_seg
1027,815,71,82.85525352112677,80.485,1.0,22.357,22.357
1027,817,71,82.87081690140846,80.146,1.0,22.345,22.345
1027,822,71,81.86559154929577,79.494,1.0,22.179,22.179
1027,825,69,84.20998550724639,81.682,1.0,23.084,23.084
1027,826,70,83.27315714285714,79.905,2.0,44.522999999999996,22.261499999999998
1027,830,71,82.78466197183099,80.406,1.0,24.493,24.493
1027,832,70,83.48901428571429,80.311,2.0,44.42,22.21
1027,840,70,83.44592857142857,80.922,1.0,22.745,22.745
1027,841,70,83.78794285714285,81.014,1.0,43.411,43.411
1027,842,70,83.3170142857143,79.53,2.0,45.307,22.6535
1027,844,71,81.90523943661971,79.232,2.0,47.788,23.894
1027,846,48,86.80816666666666,81.643,,,
1027,847,69,84.87094202898551,81.286,1.0,22.887,22.887
1027,848,71,82.11694366197183,79.325,2.0,44.195,22.0975
1028,1,56,100.71073214285714,98.446,1.0,23.943,23.943
1028,8,55,102.82327272727272,99.608,2.0,49.230000000000004,24.615000000000002
1028,9,31,106.32545161290322,103.83,1.0,24.164,24.164
1028,20,7,103.30428571428571,102.165,,,
1028,154,55,103.76154545454546,101.27,1.0,24.583,24.583
1028,807,55,102.693,98.437,2.0,47.929,23.9645
1028,815,55,102.80645454545454,100.165,1.0,24.207,24.207
1028,817,56,102.25033928571429,100.564,1.0,23.751,23.751
1028,822,56,100.63666071428571,96.957,2.0,47.97,23.985
1028,825,52,103.72925,100.347,2.0,49.66,24.83
1028,826,55,102.77127272727272,98.969,2.0,51.277,25.6385
1028,830,56,100.72598214285715,98.214,2.0,47.16,23.58
1028,832,55,102.62183636363636,100.844,1.0,24.784,24.784
1028,840,55,103.22863636363637,100.38,2.0,49.762,24.881
1028,841,55,103.44441818181818,99.964,2.0,49.436,24.718
1028,842,54,103.5385,100.85,2.0,48.455,24.2275
1028,844,56,101.5695,96.169,2.0,53.001000000000005,26.500500000000002
1028,846,56,102.25744642857144,98.074,2.0,50.454,25.227
1028,847,54,104.78031481481482,101.239,2.0,52.45,26.225
1028,848,56,102.03019642857143,98.029,3.0,81.018,27.006
1029,1,71,78.88474647887323,71.082,3.0,69.03,23.01
1029,8,71,78.93140845070423,73.135,2.0,47.304,23.652
1029,9,70,80.181,74.553,4.0,101.16,25.29
1029,20,65,77.00533846153846,71.384,2.0,46.17700000000001,23.088500000000003
1029,154,71,78.99894366197184,73.619,2.0,47.247,23.6235
1029,807,71,78.98221126760562,72.934,3.0,69.687,23.229
1029,815,71,78.96066197183099,72.84,2.0,46.221000000000004,23.110500000000002
1029,817,71,78.94674647887324,72.733,2.0,60.251000000000005,30.125500000000002
1029,822,51,74.51331372549019,70.698,2.0,46.358000000000004,23.179000000000002
1029,825,71,78.97760563380281,73.262,2.0,47.37,23.685
1029,826,71,78.96632394366198,72.385,2.0,46.137,23.0685
1029,830,71,78.79828169014085,70.862,3.0,68.068,22.689333333333334
1029,832,71,78.92357746478874,73.158,1.0,22.77,22.77
1029,840,65,77.29555384615385,72.603,2.0,48.187,24.0935
1029,841,71,78.94195774647888,73.02,2.0,46.679,23.3395
1029,842,71,78.88387323943662,72.425,2.0,46.506,23.253
1029,844,65,77.01232307692307,71.423,2.0,46.008,23.004
1029,846,71,78.95608450704225,72.328,2.0,46.736000000000004,23.368000000000002
1029,847,71,78.98981690140846,73.752,3.0,68.14,22.713333333333335
1029,848,71,79.00852112676056,71.087,2.0,46.144000000000005,23.072000000000003
1030,1,55,102.64936363636363,99.283,1.0,22.178,22.178
1030,8,54,105.30546296296296,103.142,1.0,22.41,22.41
1030,9,53,106.97118867924529,104.5,1.0,21.688,21.688
1030,20,55,103.8194909090909,100.128,2.0,47.629000000000005,23.814500000000002
1030,154,54,105.93457407407408,103.666,1.0,21.968,21.968
1030,807,54,105.1684074074074,103.274,1.0,21.578,21.578
1030,815,54,105.01144444444444,102.639,1.0,22.23,22.23
1030,817,54,105.14327777777778,101.19,2.0,43.528,21.764
1030,822,55,103.45625454545454,99.715,1.0,21.145,21.145
1030,825,54,105.58324074074075,103.79,1.0,21.531,21.531
1030,826,54,105.05992592592592,102.222,1.0,21.496,21.496
1030,830,55,102.95430909090909,101.119,1.0,21.023,21.023
1030,832,54,105.1265925925926,101.294,2.0,43.394000000000005,21.697000000000003
1030,840,45,106.95397777777778,103.326,2.0,50.62,25.31
1030,841,54,106.15707407407407,103.256,2.0,44.165,22.0825
1030,842,53,106.73586792452829,102.414,,,
1030,844,55,103.43909090909091,100.442,2.0,42.971000000000004,21.485500000000002
1030,846,54,105.03664814814815,103.026,1.0,22.974,22.974
1030,847,54,106.3610925925926,103.074,1.0,22.272,22.272
1030,848,55,103.90763636363637,102.219,1.0,22.028,22.028
1031,1,71,76.85109859154929,67.712,2.0,38.215,19.1075
1031,8,53,75.11049056603774,69.031,2.0,44.798,22.399
1031,20,71,77.18709859154929,68.623,3.0,64.299,21.433000000000003
1031,154,49,75.41381632653061,70.228,1.0,23.28,23.28
1031,815,71,76.98353521126761,68.305,2.0,38.929,19.4645
1031,817,17,73.01935294117648,70.61,,,
1031,822,71,76.84139436619719,67.657,2.0,38.344,19.172
1031,825,24,71.76266666666668,70.72,,,
1031,826,69,77.46246376811594,69.135,3.0,64.047,21.349
1031,830,11,76.15254545454546,69.351,,,
1031,832,71,76.96678873239438,67.974,3.0,65.696,21.898666666666667
1031,839,71,77.08725352112677,68.912,2.0,41.309,20.6545
1031,840,20,72.0613,70.326,,,
1031,841,71,77.13922535211267,68.796,3.0,66.137,22.045666666666666
1031,842,71,77.07635211267606,69.025,2.0,42.377,21.1885
1031,844,71,76.87942253521128,67.901,3.0,63.476,21.158666666666665
1031,846,71,76.91873239436619,67.475,3.0,63.721000000000004,21.240333333333336
1031,847,49,74.04655102040816,69.317,1.0,21.417,21.417
1031,848,67,77.6565223880597,68.432,3.0,60.156,20.052
1031,849,71,77.2871690140845,69.662,3.0,63.464,21.154666666666667
1032,1,71,70.00961971830985,66.719,1.0,21.729,21.729
1032,8,70,71.55431428571428,68.382,1.0,21.459,21.459
1032,20,1,101.037,101.037,,,
1032,154,70,71.56597142857143,68.047,1.0,22.444,22.444
1032,815,71,70.88830985915493,67.188,1.0,22.761,22.761
1032,817,71,70.89118309859154,67.832,1.0,21.603,21.603
1032,822,71,70.20284507042254,67.534,1.0,21.376,21.376
1032,825,70,71.55818571428571,68.009,1.0,21.977,21.977
1032,826,70,71.44191428571429,68.378,1.0,22.197,22.197
1032,830,71,70.48423943661972,66.145,2.0,42.028000000000006,21.014000000000003
1032,832,70,71.2818,65.619,2.0,47.856,23.928
1032,839,25,74.39816,69.321,,,
1032,840,71,70.88923943661972,67.833,1.0,22.118,22.118
1032,841,70,71.6339,68.512,1.0,21.667,21.667
1032,842,70,71.84528571428571,67.827,2.0,44.230000000000004,22.115000000000002
1032,844,4,104.2755,92.548,1.0,39.715,39.715
1032,846,71,70.87539436619718,67.193,1.0,22.406,22.406
1032,847,69,72.07,68.601,1.0,21.697,21.697
1032,848,71,70.63497183098592,67.109,1.0,21.505,21.505
1032,849,69,72.1228115942029,68.806,1.0,22.745,22.745
1033,1,70,82.4639,76.627,3.0,67.00999999999999,22.336666666666662
1033,8,69,84.43591304347825,80.232,2.0,49.427,24.7135
1033,20,69,83.73856521739131,80.363,2.0,50.166,25.083
1033,154,69,84.41879710144929,80.889,1.0,22.591,22.591
1033,815,69,83.7550579710145,80.09,2.0,45.314,22.657
1033,817,69,83.76882608695652,79.532,2.0,43.993,21.9965
1033,822,70,82.59892857142856,77.665,3.0,65.122,21.707333333333334
1033,825,69,83.94776811594203,80.477,1.0,23.621,23.621
1033,826,69,84.31626086956521,80.946,2.0,46.253,23.1265
1033,830,70,82.58821428571429,79.184,2.0,42.797,21.3985
1033,832,69,83.97779710144928,79.457,2.0,49.569,24.7845
1033,839,69,84.33966666666667,80.261,2.0,46.141,23.0705
1033,840,70,83.28645714285713,78.973,3.0,67.672,22.557333333333332
1033,841,69,84.73491304347826,80.096,3.0,67.196,22.398666666666667
1033,842,15,91.35153333333334,83.939,1.0,22.74,22.74
1033,844,69,84.24582608695653,80.821,2.0,44.83,22.415
1033,846,69,84.32697101449276,79.945,2.0,45.754000000000005,22.877000000000002
1033,847,69,84.75136231884058,79.984,3.0,64.599,21.533
1033,848,70,83.5827,79.44,2.0,45.22,22.61
1033,849,65,89.58032307692307,81.198,5.0,133.86700000000002,26.773400000000002
1034,1,52,101.56313461538461,89.238,1.0,28.805,28.805
1034,8,51,104.31892156862746,89.973,2.0,80.67500000000001,40.337500000000006
1034,20,52,102.36807692307693,90.537,1.0,29.439,29.439
1034,154,52,102.62178846153847,89.782,1.0,33.816,33.816
1034,817,52,101.94101923076923,89.482,1.0,29.559,29.559
1034,822,52,102.37403846153846,89.265,2.0,64.173,32.0865
1034,825,1,103.754,103.754,,,
1034,826,11,112.05463636363636,92.443,,,
1034,830,52,101.67575,87.097,2.0,56.480999999999995,28.240499999999997
1034,832,52,102.58948076923076,89.948,2.0,64.765,32.3825
1034,839,52,102.08115384615384,89.491,1.0,30.768,30.768
1034,840,52,102.28065384615384,90.475,1.0,28.716,28.716
1034,841,52,102.5093846153846,90.977,1.0,28.355,28.355
1034,842,52,102.16290384615384,89.603,1.0,29.414,29.414
1034,844,52,101.91840384615385,89.813,1.0,29.52,29.52
1034,846,52,101.99153846153847,90.058,1.0,30.289,30.289
1034,847,52,102.56321153846153,90.862,1.0,29.302,29.302
1034,848,52,102.19140384615385,88.689,2.0,62.141999999999996,31.070999999999998
1034,849,52,102.61215384615384,90.501,1.0,31.371,31.371
1035,1,52,92.17921153846153,88.451,2.0,57.808,28.904
1035,8,51,94.21641176470588,91.756,1.0,29.296,29.296
1035,20,52,93.37236538461539,90.785,2.0,56.519000000000005,28.259500000000003
1035,154,51,94.25896078431371,90.793,2.0,59.18,29.59
1035,807,52,93.03738461538461,90.087,3.0,86.10300000000001,28.701000000000004
1035,817,51,93.89498039215687,91.168,3.0,84.811,28.270333333333337
1035,822,52,92.33123076923077,89.765,2.0,56.596000000000004,28.298000000000002
1035,825,43,95.24102325581396,91.83,2.0,58.323,29.1615
1035,826,52,93.30119230769232,90.738,2.0,56.400999999999996,28.200499999999998
1035,830,52,91.96140384615384,89.465,2.0,58.101,29.0505
1035,832,52,93.38582692307692,90.556,2.0,64.636,32.318
1035,839,52,93.20703846153847,90.575,1.0,28.093,28.093
1035,840,52,92.7794423076923,90.379,2.0,56.209,28.1045
1035,841,51,94.3726862745098,91.826,2.0,55.585,27.7925
1035,842,52,93.31990384615385,90.092,2.0,56.662000000000006,28.331000000000003
1035,844,52,92.52465384615384,90.552,1.0,29.419,29.419
1035,846,52,93.22186538461538,90.698,2.0,56.823,28.4115
1035,847,51,94.38998039215687,91.408,3.0,85.414,28.471333333333334
1035,848,52,92.71421153846153,89.477,2.0,56.275000000000006,28.137500000000003
1035,849,51,94.40188235294117,89.95,3.0,85.831,28.610333333333333
1036,1,66,83.41331818181817,79.822,2.0,45.230000000000004,22.615000000000002
1036,8,65,85.64126153846153,81.888,2.0,44.510999999999996,22.255499999999998
1036,20,65,85.28943076923076,82.707,1.0,21.82,21.82
1036,154,64,86.4835625,80.409,2.0,47.222,23.611
1036,815,65,84.99175384615386,82.515,1.0,22.641,22.641
1036,817,65,85.34069230769231,82.464,1.0,21.837,21.837
1036,822,66,84.09137878787878,78.183,3.0,67.06,22.353333333333335
1036,825,65,85.75953846153847,83.474,1.0,24.148,24.148
1036,826,65,85.35381538461539,82.336,2.0,45.115,22.5575
1036,830,66,83.77963636363637,81.477,2.0,43.132999999999996,21.566499999999998
1036,832,65,85.093,81.771,2.0,44.244,22.122
1036,839,65,85.55703076923076,82.174,1.0,22.366,22.366
1036,840,65,85.02652307692308,82.024,2.0,44.739000000000004,22.369500000000002
1036,841,65,85.7702923076923,81.801,2.0,44.037,22.0185
1036,842,65,85.31687692307692,82.543,2.0,44.635,22.3175
1036,844,38,87.67463157894737,83.968,1.0,22.274,22.274
1036,846,65,85.32544615384614,82.392,2.0,43.86,21.93
1036,847,65,85.91778461538462,82.503,2.0,44.596999999999994,22.298499999999997
1036,848,65,85.30781538461538,82.194,2.0,43.467,21.7335
1036,849,64,86.051515625,82.03,2.0,44.797,22.3985
1037,1,44,114.74456818181818,107.758,1.0,23.298,23.298
1037,8,44,116.36965909090908,109.822,1.0,22.96,22.96
1037,20,44,116.40125,109.958,1.0,22.982,22.982
1037,154,44,116.48986363636364,110.018,1.0,23.636,23.636
1037,815,44,115.95318181818182,108.389,1.0,23.175,23.175
1037,817,44,115.1735909090909,107.483,1.0,23.586,23.586
1037,822,44,114.93656818181817,107.983,1.0,25.548,25.548
1037,825,44,116.68865909090908,108.083,2.0,50.495,25.2475
